ISim log file
Running: /home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft_isim_beh.wdb 
ISim P.58f (signature 0xfbc00daa)
This is a Full version of ISim.
WARNING: File "/home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft.v" Line 34.  For instance tb_fft/uut/, width 8 of formal port s_axis_config_tdata is not equal to width 16 of actual variable s_axis_config_tdata. 
WARNING: File "/home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft.v" Line 50.  For instance tb_fft/uut/, width 48 of formal port m_axis_data_tdata is not equal to width 32 of actual signal m_axis_data_tdata.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                 485 	 outReal	     0 	 outImage	     0
                 487 	 outReal	     0 	 outImage	     0
                 489 	 outReal	     0 	 outImage	     0
                 491 	 outReal	     0 	 outImage	     0
                 493 	 outReal	     0 	 outImage	     0
                 495 	 outReal	     0 	 outImage	     0
                 497 	 outReal	     0 	 outImage	     0
                 499 	 outReal	     0 	 outImage	     0
                 501 	 outReal	     0 	 outImage	     0
                 503 	 outReal	     0 	 outImage	     0
                 505 	 outReal	     0 	 outImage	     0
                 507 	 outReal	     0 	 outImage	     0
                 509 	 outReal	     0 	 outImage	     0
                 511 	 outReal	     0 	 outImage	     0
                 513 	 outReal	     0 	 outImage	     0
                 515 	 outReal	     0 	 outImage	     0
                 517 	 outReal	     0 	 outImage	     0
                 519 	 outReal	     0 	 outImage	     0
                 521 	 outReal	     0 	 outImage	     0
                 523 	 outReal	     0 	 outImage	     0
                 525 	 outReal	     0 	 outImage	     0
                 527 	 outReal	     0 	 outImage	     0
                 529 	 outReal	     0 	 outImage	     0
                 531 	 outReal	     0 	 outImage	     0
                 533 	 outReal	     0 	 outImage	     0
                 535 	 outReal	     0 	 outImage	     0
                 537 	 outReal	  8128 	 outImage	     0
                 539 	 outReal	     0 	 outImage	     0
                 541 	 outReal	     0 	 outImage	     0
                 543 	 outReal	     0 	 outImage	     0
                 545 	 outReal	     0 	 outImage	     0
                 547 	 outReal	     0 	 outImage	     0
                 549 	 outReal	     0 	 outImage	     0
                 551 	 outReal	     0 	 outImage	     0
                 553 	 outReal	     0 	 outImage	     0
                 555 	 outReal	     0 	 outImage	     0
                 557 	 outReal	     0 	 outImage	     0
                 559 	 outReal	     0 	 outImage	     0
                 561 	 outReal	     0 	 outImage	     0
                 563 	 outReal	     0 	 outImage	     0
                 565 	 outReal	     0 	 outImage	     0
                 567 	 outReal	     0 	 outImage	     0
                 569 	 outReal	     0 	 outImage	     0
                 571 	 outReal	     0 	 outImage	     0
                 573 	 outReal	     0 	 outImage	     0
                 575 	 outReal	     0 	 outImage	     0
                 577 	 outReal	     0 	 outImage	     0
                 579 	 outReal	     0 	 outImage	     0
                 581 	 outReal	     0 	 outImage	     0
                 583 	 outReal	     0 	 outImage	     0
                 585 	 outReal	     0 	 outImage	     0
                 587 	 outReal	     0 	 outImage	     0
                 589 	 outReal	     0 	 outImage	     0
                 591 	 outReal	     0 	 outImage	     0
                 593 	 outReal	     0 	 outImage	     0
                 595 	 outReal	     0 	 outImage	     0
                 597 	 outReal	     0 	 outImage	     0
                 599 	 outReal	     0 	 outImage	     0
                 601 	 outReal	  4039 	 outImage	 33280
                 603 	 outReal	     1 	 outImage	     0
                 605 	 outReal	     1 	 outImage	 65024
                 607 	 outReal	 65535 	 outImage	 64767
                 609 	 outReal	 65533 	 outImage	 64255
                 611 	 outReal	     3 	 outImage	  1024
                 613 	 outReal	 65535 	 outImage	   511
                 615 	 outReal	     9 	 outImage	 64768
                 617 	 outReal	 65529 	 outImage	 65279
                 619 	 outReal	    11 	 outImage	  1536
                 621 	 outReal	     2 	 outImage	   256
                 623 	 outReal	     2 	 outImage	  1792
                 625 	 outReal	     1 	 outImage	   256
                 627 	 outReal	     1 	 outImage	 64768
                 629 	 outReal	 65535 	 outImage	  1023
                 631 	 outReal	     7 	 outImage	 64256
                 633 	 outReal	     4 	 outImage	 65024
                 635 	 outReal	     0 	 outImage	  1024
                 637 	 outReal	 65535 	 outImage	   511
                 639 	 outReal	     1 	 outImage	   256
                 641 	 outReal	 65534 	 outImage	 64767
                 643 	 outReal	     0 	 outImage	  1024
                 645 	 outReal	    10 	 outImage	 64256
                 647 	 outReal	 65532 	 outImage	   511
                 649 	 outReal	     4 	 outImage	     0
                 651 	 outReal	     0 	 outImage	     0
                 653 	 outReal	     4 	 outImage	 65024
                 655 	 outReal	 65528 	 outImage	  1791
                 657 	 outReal	     2 	 outImage	   768
                 659 	 outReal	     0 	 outImage	  1792
                 661 	 outReal	     0 	 outImage	     0
                 663 	 outReal	  4054 	 outImage	 29184
                 665 	 outReal	 65186 	 outImage	 57087
